No,Conty,Producder,Stock,Adderres,Pro_name,Pro_ctgry,count
1 ,基隆市,李鵠餅店,11.7,基隆市仁三路90號,咖哩酥,傳統糕餅,2
2 ,基隆市,李鵠餅店,11.7,基隆市仁三路90號,綠豆沙餅,傳統糕餅,2
3 ,基隆市,基隆油蔥店,19.32,基隆市西定路139號,油蔥酥產品(散裝),傳統糕餅,1 
4 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味小寶純豬肉酥,肉鬆/酥,12
5 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味小寶海苔豬肉酥,肉鬆/酥,12
6 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全豬肉酥,肉鬆/酥,12
7 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全豬肉酥,肉鬆/酥,12
8 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全海苔豬肉酥,肉鬆/酥,12
9 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味小寶極品上豚純肉酥,肉鬆/酥,12
10 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味小寶極品上豚純肉酥-海苔口味,肉鬆/酥,12
11 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味小寶臻選純肉鬆禮盒,肉鬆/酥,12
12 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全辣味肉醬,肉醬,12
13 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全珍味肉醬,肉醬,12
14 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全瓜仔肉,肉醬,12
15 ,臺北市,味全食品工業股份有限公司,20.85,營登：臺北市中山區松江路125 號,味全辣味肉醬,肉醬,12
16 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),憶霖沙嗲火鍋上湯(自有品牌),調味醬/油/高湯,6
17 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),永盛肉燥油包,調味醬/油/高湯,6
18 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),國豐什錦油包,調味醬/油/高湯,6
19 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),龍口蔥油包,調味醬/油/高湯,6
20 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),鮮活豚骨味噌醬包,調味醬/油/高湯,6
21 ,臺北市,憶霖企業有限公司(辦公室) 工廠：雲林縣斗六,2.64,三重區重新路5段317巷1弄14 號 工廠地址：雲林縣斗六市民有 街38號(庫存量均位雲林),喜多福油蔥香菇拌麵醬,調味醬/油/高湯,6
22,臺北市,味王股份有限公司,3.57,營登：臺北市中山區中山北路2 段79號8樓 工廠：雲林縣大埤鄉豐田路14 號,咖哩雞調味袋,調味醬/油/高湯,3
23,臺北市,味王股份有限公司,3.57,營登：臺北市中山區中山北路2 段79號8樓 工廠：雲林縣大埤鄉豐田路14 號,咖哩牛調味袋,調味醬/油/高湯,3
24,臺北市,味王股份有限公司,3.57,營登：臺北市中山區中山北路2 段79號8樓 工廠：雲林縣大埤鄉豐田路14 號,咖哩豬調味袋,調味醬/油/高湯,3
25,桃園縣,良晟食品股份有限公司,0.015,八德市永豐路236巷12號,自用15公斤研發蔥油餅,傳統糕餅,1
26,桃園縣,昇陽肉鬆行,2.25,長春路15號,特純肉鬆、特級肉脯,肉鬆/酥,1
27,花蓮市,丰禾興實業有限公司,2.34,花蓮市中華路296-2號,綠豆椪,傳統糕餅,1
28,台東市,叢林之屋,0.015,台東市光明路158號,肉鬆,肉鬆/酥,1
29,台南市,楊記,1.2,新營市民生路420巷29號,蔥油餅,傳統糕餅,1
30,台南市,黑橋牌企業股份有限公司,0.555,南區中華西路一段103號,府城廟口粽,米製品,3
31,台南市,黑橋牌企業股份有限公司,0.555,南區中華西路一段103號,紫米干貝黑豬肉粽,米製品,3
32,台南市,黑橋牌企業股份有限公司,0.555,南區中華西路一段103號,王福粽,米製品,3
33,台南市,美而美食品廠,9,台南市南區彰南里新平路7-1號,蛋餅皮,餅皮/麵皮,1
34 ,台南市,品味軒食品行,0.6,台南市麻豆區苓子林16號,肉脯,肉鬆/酥,2
35 ,台南市,品味軒食品行,0.6,台南市麻豆區苓子林16號,肉鬆,肉鬆/酥,2
36,彰化縣,北斗肉圓生,0.075,北斗鎮中192號,肉圓,餅皮/麵皮,1
37,彰化縣,上泓食品行,0.016,永靖鄉中山路3段181-11號,奶油條,調味醬/油/高湯,1
38,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,綠豆椪(葷),傳統糕餅,8
39,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,綠豆椪(葷無肉),傳統糕餅,8
40,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,綠豆糕(葷),傳統糕餅,8
41,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,杏仁糕(葷),傳統糕餅,8
42,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,炸豬油荖,傳統糕餅,8
43,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,肉餅,傳統糕餅,8
44,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,肉餅+蛋,傳統糕餅,8
45,彰化縣,玉珍齋,0.675,鹿港鎮中山路444號,綠豆椪大餅,傳統糕餅,8
46,苗栗縣,日富,5.088,"苗栗縣後龍鎮東明里10鄰厝勝
路202-8號",蔥油餅,餅皮/麵皮,1
47 ,台中市,合記,0.15,臺中市大里市愛心一街20號,蔥油餅,餅皮/麵皮,1 
48 ,台中市,英辰,1.815,臺中市大里區化工19路6號,原味蛋餅皮,餅皮/麵皮,7
49 ,台中市,英辰,1.815,臺中市大里區化工19路6號,香蔥蛋餅皮,餅皮/麵皮,7
50 ,台中市,英辰,1.815,臺中市大里區化工19路6號,香Q蛋餅皮,餅皮/麵皮,7
51 ,台中市,英辰,1.815,臺中市大里區化工19路6號,代工蛋餅皮,餅皮/麵皮,7
52 ,台中市,英辰,1.815,臺中市大里區化工19路6號,手工蛋餅皮,餅皮/麵皮,7
53 ,台中市,英辰,1.815,臺中市大里區化工19路6號,肉粽,米製品,7
54 ,台中市,英辰,1.815,臺中市大里區化工19路6號,筒仔米糕,米製品,7
55 ,台中市,美食達人,1.44,"台中市南屯路2段工業區23路
30號",青蔥排麵包,麵包/餅乾,4
56 ,台中市,美食達人,1.44,"台中市南屯路2段工業區23路
30號",蔥花麵包,麵包/餅乾,4
57 ,台中市,美食達人,1.44,"台中市南屯路2段工業區23路
30號",全麥蔥捲麵包,麵包/餅乾,4
58 ,台中市,美食達人,1.44,"台中市南屯路2段工業區23路
30號",田園三鮮麵包,麵包/餅乾,4
59 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,盛香珍斯娜普蛋酥,調味醬/油/高湯,6
60 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,盛香珍經典奶酥,調味醬/油/高湯,6
61 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,盛香珍巧克力豆奶酥,調味醬/油/高湯,6
62 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,盛香珍酥餅總匯綜合餅乾,麵包/餅乾,6
63 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,法式綜合餅乾,麵包/餅乾,6
64 ,台中市,盛香珍,7.856,臺中市梧棲區自強一街146號,糕餅舖綜合餅乾,麵包/餅乾,6
65 ,台中市,麥可利,0.6,臺中市神岡鄉社口街10巷10號,香酥抓餅,餅皮/麵皮,2
66 ,台中市,麥可利,0.6,臺中市神岡鄉社口街10巷10號,香酥蔥油餅,餅皮/麵皮,2
67 ,雲林縣,品高企業股份有限公司,1.646,斗六市中南路290巷10-4號,久芳麻辣醬調味油,調味醬/油/高湯,2
68 ,雲林縣,品高企業股份有限公司,1.646,斗六市中南路290巷10-4號,肉燥調味包,調味醬/油/高湯,2
69 ,雲林縣,亞世家企業股份有限公司,0.21,莿桐鄉大美村大美路21-10號,驛統-海鮮油包,調味醬/油/高湯,6
70 ,雲林縣,亞世家企業股份有限公司,0.21,莿桐鄉大美村大美路21-10號,新欣-肉燥醬包,調味醬/油/高湯,6
71 ,雲林縣,亞世家企業股份有限公司,0.21,莿桐鄉大美村大美路21-10號,鮮活-排骨雞湯麵包油,調味醬/油/高湯,6
72 ,雲林縣,亞世家企業股份有限公司,0.21,莿桐鄉大美村大美路21-10號,國際肉燥油包,調味醬/油/高湯,6
